algorithm,n,score,fold
cnn,0,0.39977601865488455,0
cnn,1,0.39977601865488455,0
cnn,2,0.4264317864348906,0
cnn,3,0.37070637119113575,0
cnn,4,0.3705131293664177,0
cnn,5,0.3563636363636363,0
cnn,6,0.3111827956989247,0
cnn,7,0.32731042654028436,0
cnn,8,0.1768707482993197,0
cnn,9,0.15773809523809523,0
cnn,10,0.14960629921259844,0
cnn,11,0.24137931034482762,0
cnn,12,0.2790697674418605,0
cnn,13,0.2790697674418605,0
cnn,14,0.2790697674418605,0
cnn,15,0.2790697674418605,0
cnn,16,0.2790697674418605,0
cnn,17,0.2790697674418605,0
cnn,18,0.2790697674418605,0
cnn,19,0.2790697674418605,0
cnn,0,0.5425359295317571,1
cnn,1,0.5425359295317571,1
cnn,2,0.5377941425427459,1
cnn,3,0.5068155111633372,1
cnn,4,0.46315894568690097,1
cnn,5,0.4626966292134832,1
cnn,6,0.458356940509915,1
cnn,7,0.3236245954692557,1
cnn,8,0.30542986425339363,1
cnn,0,0.487021237974224,2
cnn,1,0.487021237974224,2
cnn,2,0.4756811594202899,2
cnn,3,0.49761450381679395,2
cnn,4,0.6093567251461989,2
cnn,0,0.5621436432174567,3
cnn,1,0.5621436432174567,3
cnn,2,0.5647252711032005,3
cnn,3,0.57308533916849,3
cnn,4,0.5798554803014405,3
cnn,5,0.5533616735652758,3
cnn,6,0.5269211943220754,3
cnn,7,0.6656249999999999,3
cnn,0,0.4946605644546148,4
cnn,1,0.4946605644546148,4
cnn,2,0.455674800771142,4
cnn,3,0.44887489696055566,4
cnn,4,0.49733413509721386,4
cnn,5,0.49806636726546905,4
cnn,6,0.494475713987909,4
cnn,7,0.47907087363247186,4
cnn,8,0.4470464135021097,4
cnn,9,0.4453514739229025,4
cnn,10,0.4453514739229025,4
cnn,11,0.502496328928047,4
cnn,12,0.4939903846153846,4
cnn,13,0.49415204678362573,4
cnn,14,0.07980049875311723,4
cnn,0,0.44066407380026357,5
cnn,1,0.44066407380026357,5
cnn,2,0.45225589650263964,5
cnn,3,0.45765161225464324,5
cnn,4,0.4653689679396621,5
cnn,5,0.46451871926126664,5
cnn,6,0.44786104044895825,5
cnn,7,0.4437768138614331,5
cnn,8,0.4270583710541109,5
cnn,9,0.42689516129032257,5
cnn,10,0.464614166514404,5
cnn,11,0.5075410382468128,5
cnn,12,0.4691598360655738,5
cnn,13,0.42026357151493166,5
cnn,14,0.453047263681592,5
cnn,15,0.5425120772946861,5
cnn,16,0.5461497890295359,5
cnn,17,0.5665377176015474,5
cnn,18,0.6078804347826087,5
cnn,19,0.6023009950248757,5
cnn,0,0.5434982192322912,6
cnn,1,0.5434982192322912,6
cnn,2,0.5491374495970324,6
cnn,3,0.5415186939777104,6
cnn,4,0.5655431667219486,6
cnn,5,0.5486193780668389,6
cnn,6,0.535605142965095,6
cnn,7,0.5257697456492637,6
cnn,8,0.5415623843021102,6
cnn,9,0.5576873484965702,6
cnn,10,0.540238758755743,6
cnn,11,0.5333503325471197,6
cnn,12,0.5320560224089635,6
cnn,13,0.5514179104477612,6
cnn,14,0.5487104858921497,6
cnn,15,0.5342240975152367,6
cnn,16,0.5342240975152367,6
cnn,17,0.5342240975152367,6
cnn,18,0.5338229960101559,6
cnn,19,0.5333957553058677,6
cnn,0,0.5375776648107803,7
cnn,1,0.5375776648107803,7
cnn,2,0.5386706450904297,7
cnn,3,0.5347758393548645,7
cnn,4,0.5540719696969697,7
cnn,5,0.5503258375401561,7
cnn,6,0.5337406035397847,7
cnn,7,0.5464566929133858,7
cnn,8,0.53410133873469,7
cnn,9,0.5569219593192196,7
cnn,10,0.5409684986595175,7
cnn,11,0.5619155926206723,7
cnn,12,0.5692928334124348,7
cnn,13,0.574731987035652,7
cnn,14,0.574731987035652,7
cnn,15,0.574731987035652,7
cnn,16,0.6036014211886305,7
cnn,17,0.5683916083916084,7
cnn,18,0.5683916083916084,7
cnn,19,0.5683916083916084,7
cnn,0,0.48992832487508187,8
cnn,1,0.48992832487508187,8
cnn,2,0.4912903708133971,8
cnn,3,0.5137697797941795,8
cnn,4,0.510275190215459,8
cnn,5,0.4681198496183496,8
cnn,6,0.4509424603174603,8
cnn,7,0.4139865370231862,8
cnn,8,0.41606486344537813,8
cnn,9,0.4493497604380561,8
cnn,10,0.4493497604380561,8
cnn,11,0.4291166848418757,8
cnn,12,0.4580164056674123,8
cnn,13,0.43913517441860467,8
cnn,14,0.3995924835861444,8
cnn,15,0.42421602787456447,8
cnn,16,0.42421602787456447,8
cnn,17,0.42421602787456447,8
cnn,18,0.42421602787456447,8
cnn,19,0.42421602787456447,8
cnn,0,0.47516205435053604,9
cnn,1,0.47516205435053604,9
cnn,2,0.47516205435053604,9
cnn,3,0.47516205435053604,9
cnn,4,0.45381630978139226,9
cnn,5,0.4073255813953488,9
cnn,6,0.44064131245339294,9
cnn,7,0.4659338662790698,9
cnn,8,0.4659338662790698,9
cnn,9,0.44838125424496256,9
cnn,10,0.44838125424496256,9
cnn,11,0.44838125424496256,9
cnn,12,0.4609465737514518,9
cnn,13,0.4609465737514518,9
cnn,14,0.4609465737514518,9
cnn,15,0.4609465737514518,9
cnn,16,0.4690522243713734,9
cnn,17,0.4690522243713734,9
cnn,18,0.4690522243713734,9
cnn,19,0.4690522243713734,9
svdbinary,0,0.5005829651448208,0
svdbinary,1,0.5005829651448208,0
svdbinary,2,0.528351182161519,0
svdbinary,3,0.6181440443213295,0
svdbinary,4,0.6906769453143821,0
svdbinary,5,0.6592424242424242,0
svdbinary,6,0.6572043010752688,0
svdbinary,7,0.60989336492891,0
svdbinary,8,0.6241496598639455,0
svdbinary,9,0.5863095238095237,0
svdbinary,10,0.5728346456692914,0
svdbinary,11,0.9080459770114941,0
svdbinary,12,0.8837209302325583,0
svdbinary,13,0.8837209302325583,0
svdbinary,14,0.8837209302325583,0
svdbinary,15,0.8837209302325583,0
svdbinary,16,0.8837209302325583,0
svdbinary,17,0.8837209302325583,0
svdbinary,18,0.8837209302325583,0
svdbinary,19,0.8837209302325583,0
svdbinary,0,0.5001390820584145,1
svdbinary,1,0.5001390820584145,1
svdbinary,2,0.4750296258676147,1
svdbinary,3,0.44717978848413636,1
svdbinary,4,0.4733426517571885,1
svdbinary,5,0.2674157303370786,1
svdbinary,6,0.2781869688385269,1
svdbinary,7,0.3106796116504854,1
svdbinary,8,0.2669683257918552,1
svdbinary,0,0.5186664246384705,2
svdbinary,1,0.5186664246384705,2
svdbinary,2,0.5094782608695653,2
svdbinary,3,0.630089058524173,2
svdbinary,4,0.7690058479532162,2
svdbinary,0,0.4912731491855769,3
