algorithm,n,score,fold
hmm,0,0.6133100147275404,0
hmm,1,0.6133100147275404,0
hmm,2,0.5724041595530033,0
hmm,3,0.6619113573407203,0
hmm,4,0.7330763671404481,0
hmm,5,0.7739393939393939,0
hmm,6,0.7445161290322582,0
hmm,7,0.6966824644549763,0
hmm,8,0.6723356009070294,0
hmm,9,0.5327380952380952,0
hmm,10,0.5078740157480315,0
hmm,11,0.7816091954022988,0
hmm,12,0.6976744186046512,0
hmm,13,0.6976744186046512,0
hmm,14,0.6976744186046512,0
hmm,15,0.6976744186046512,0
hmm,16,0.6976744186046512,0
hmm,17,0.6976744186046512,0
hmm,18,0.6976744186046512,0
hmm,19,0.6976744186046512,0
hmm,0,0.5719981455725545,1
hmm,1,0.5719981455725545,1
hmm,2,0.563653292703572,1
hmm,3,0.5323149236192715,1
hmm,4,0.5059904153354633,1
hmm,5,0.4687640449438202,1
hmm,6,0.4651558073654391,1
hmm,7,0.3907766990291262,1
hmm,8,0.6085972850678734,1
hmm,0,0.6017879833000545,2
hmm,1,0.6017879833000545,2
hmm,2,0.6116811594202899,2
hmm,3,0.529262086513995,2
hmm,4,0.7473684210526316,2
hmm,0,0.6042267337924578,3
hmm,1,0.6042267337924578,3
hmm,2,0.6215498203632289,3
hmm,3,0.6155621548400542,3
hmm,4,0.6319278832395306,3
hmm,5,0.5977738002013648,3
hmm,6,0.5930004894762604,3
hmm,7,0.5703125,3
hmm,0,0.6101964855778738,4
hmm,1,0.6101964855778738,4
hmm,2,0.5803307250590212,4
hmm,3,0.491441149130961,4
hmm,4,0.4959911805973141,4
hmm,5,0.46042290419161674,4
hmm,6,0.3973316656243485,4
hmm,7,0.4111304899318218,4
hmm,8,0.359493670886076,4
hmm,9,0.35306122448979593,4
hmm,10,0.35306122448979593,4
hmm,11,0.3720998531571219,4
hmm,12,0.4619391025641026,4
hmm,13,0.47076023391812866,4
hmm,14,0.5760598503740648,4
hmm,0,0.5817806492166043,5
hmm,1,0.5817806492166043,5
hmm,2,0.599803600064866,5
hmm,3,0.5987282917389228,5
hmm,4,0.6092158997043317,5
hmm,5,0.6050529817467486,5
hmm,6,0.637609957861623,5
hmm,7,0.6273910260968499,5
hmm,8,0.6295375876453358,5
hmm,9,0.6027016129032258,5
hmm,10,0.5946159936658749,5
hmm,11,0.6024497958503457,5
hmm,12,0.6072745901639345,5
hmm,13,0.5832426550598476,5
hmm,14,0.6537624378109452,5
hmm,15,0.7067632850241545,5
hmm,16,0.7117616033755274,5
hmm,17,0.7369439071566731,5
