fold,algorithm,model_key
0,logit,0
1,logit,1
2,logit,2
3,logit,3
4,logit,4
5,logit,5
6,logit,6
7,logit,7
8,logit,8
9,logit,9
0,svm,0
1,svm,1
2,svm,2
3,svm,3
4,svm,4
5,svm,5
6,svm,6
7,svm,7
8,svm,8
9,svm,9
0,xg,0::50::0.8::3
1,xg,1::50::0.8::10
2,xg,2::150::0.8::15
3,xg,3::150::1.0::10
4,xg,4::150::0.8::3
5,xg,5::150::0.8::15
6,xg,6::50::0.8::15
7,xg,7::150::1.0::10
8,xg,8::100::0.8::15
9,xg,9::150::0.8::3
0,rf,0::15::10
1,rf,1::15::10
2,rf,2::3::10
3,rf,3::10::10
4,rf,4::10::10
5,rf,5::3::10
6,rf,6::3::10
7,rf,7::10::10
8,rf,8::15::100
9,rf,9::10::100
0,lstm,0_64_10_True
1,lstm,1_32_30_False
2,lstm,2_128_10_False
3,lstm,3_32_30_False
4,lstm,4_128_10_False
5,lstm,5_32_10_True
6,lstm,6_64_20_False
7,lstm,7_128_20_False
8,lstm,8_64_30_False
9,lstm,9_32_30_False
0,hmm,0::5
1,hmm,1::6
2,hmm,2::5
3,hmm,3::5
4,hmm,4::5
5,hmm,5::5
6,hmm,6::5
7,hmm,7::6
8,hmm,8::5
9,hmm,9::5
0,sahoo,0_5
1,sahoo,1_6
2,sahoo,2_6
3,sahoo,3_6
4,sahoo,4_6
5,sahoo,5_5
6,sahoo,6_6
7,sahoo,7_6
8,sahoo,8_6
9,sahoo,9_6
