algorithm,prc,score,fold
hmm,0.5,7.628734901462174e-05,0
hmm,1.0,0.019071837253655435,0
hmm,0.5,8.258774948382656e-05,1
hmm,1.0,0.012388162422573986,1
hmm,0.5,0.00010031347962382445,2
hmm,1.0,0.016300940438871474,2
hmm,0.5,9.890681936491411e-05,3
hmm,1.0,0.017699115044247787,3
hmm,0.5,7.438894792773645e-05,4
hmm,1.0,0.012752391073326248,4
hmm,0.5,7.12143928035982e-05,5
hmm,1.0,0.012743628185907047,5
hmm,0.5,7.445141065830721e-05,6
hmm,1.0,0.012147335423197491,6
hmm,0.5,0.00010057471264367816,7
hmm,1.0,0.011494252873563218,7
hmm,0.5,9.578544061302682e-05,8
hmm,1.0,0.011494252873563218,8
hmm,0.5,6.896551724137931e-05,9
hmm,1.0,0.017241379310344827,9
logit,0.5,0.00011443102352193261,0
logit,1.0,0.015257469802924348,0
logit,0.5,8.258774948382656e-05,1
logit,1.0,0.012388162422573986,1
logit,0.5,0.00011285266457680251,2
logit,1.0,0.015047021943573668,2
logit,0.5,0.00012493492972410203,3
logit,1.0,0.015096304008328995,3
logit,0.5,7.438894792773645e-05,4
logit,1.0,0.012752391073326248,4
logit,0.5,8.620689655172413e-05,5
logit,1.0,0.011244377811094454,5
logit,0.5,9.404388714733542e-05,6
logit,1.0,0.01018808777429467,6
logit,0.5,0.0001053639846743295,7
logit,1.0,0.011015325670498084,7
logit,0.5,9.578544061302682e-05,8
logit,1.0,0.011494252873563218,8
logit,0.5,8.620689655172413e-05,9
logit,1.0,0.015517241379310345,9
rf,0.5,0.00010171646535282898,0
rf,1.0,0.01652892561983471,0
rf,0.5,8.258774948382656e-05,1
rf,1.0,0.012388162422573986,1
rf,0.5,0.00010031347962382445,2
rf,1.0,0.016300940438871474,2
rf,0.5,0.00011452368558042686,3
rf,1.0,0.016137428422696512,3
rf,0.5,9.032943676939426e-05,4
rf,1.0,0.011158342189160468,4
rf,0.5,8.995502248875562e-05,5
rf,1.0,0.010869565217391304,5
rf,0.5,8.620689655172413e-05,6
rf,1.0,0.0109717868338558,6
rf,0.5,9.099616858237548e-05,7
rf,1.0,0.012452107279693486,7
rf,0.5,0.00013409961685823755,8
rf,1.0,0.007662835249042145,8
rf,0.5,8.620689655172413e-05,9
rf,1.0,0.015517241379310345,9
svm,0.5,0.00010171646535282898,0
svm,1.0,0.01652892561983471,0
svm,0.5,0.00012388162422573984,1
svm,1.0,0.008258774948382657,1
svm,0.5,0.00016300940438871475,2
svm,1.0,0.010031347962382446,2
svm,0.5,0.00017699115044247788,3
svm,1.0,0.00989068193649141,3
svm,0.5,7.438894792773645e-05,4
svm,1.0,0.012752391073326248,4
svm,0.5,8.995502248875562e-05,5
svm,1.0,0.010869565217391304,5
svm,0.5,0.0001018808777429467,6
svm,1.0,0.009404388714733543,6
svm,0.5,8.620689655172413e-05,7
svm,1.0,0.01293103448275862,7
svm,0.5,9.578544061302682e-05,8
svm,1.0,0.011494252873563218,8
svm,0.5,0.0001206896551724138,9
svm,1.0,0.01206896551724138,9
xg,0.5,0.00013986013986013986,0
xg,1.0,0.012714558169103624,0
xg,0.5,9.635237439779766e-05,1
xg,1.0,0.011011699931176875,1
xg,0.5,0.00010031347962382445,2
xg,1.0,0.016300940438871474,2
xg,0.5,0.00015616866215512754,3
xg,1.0,0.011972930765226444,3
xg,0.5,7.970244420828905e-05,4
xg,1.0,0.012221041445270989,4
xg,0.5,7.871064467766117e-05,5
xg,1.0,0.01199400299850075,5
xg,0.5,9.404388714733542e-05,6
xg,1.0,0.01018808777429467,6
xg,0.5,9.578544061302682e-05,7
xg,1.0,0.011973180076628353,7
xg,0.5,7.662835249042145e-05,8
xg,1.0,0.013409961685823755,8
xg,0.5,0.0001206896551724138,9
xg,1.0,0.01206896551724138,9
lstm,0.5,8.900190718372537e-05,0
lstm,1.0,0.017800381436745075,0
lstm,0.5,0.00012388162422573984,1
lstm,1.0,0.008258774948382657,1
lstm,0.5,0.00015047021943573669,2
lstm,1.0,0.01128526645768025,2
lstm,0.5,0.00015096304008328996,3
lstm,1.0,0.012493492972410203,3
lstm,0.5,0.00012221041445270987,4
lstm,1.0,0.007970244420828906,4
lstm,0.5,8.245877061469265e-05,5
lstm,1.0,0.011619190404797601,5
lstm,0.5,9.796238244514106e-05,6
lstm,1.0,0.009796238244514107,6
lstm,0.5,9.099616858237548e-05,7
lstm,1.0,0.012452107279693486,7
lstm,0.5,7.662835249042145e-05,8
lstm,1.0,0.013409961685823755,8
lstm,0.5,0.0001206896551724138,9
lstm,1.0,0.01206896551724138,9
