algorithm,n,score,fold,metric,employer_total_tasks_so_far
hmm,1,2.075675675675676,0,topVsBottomSR,0
hmm,2,2.132290184921764,0,topVsBottomSR,0
hmm,3,2.195195195195195,0,topVsBottomSR,0
hmm,4,2.2655007949125596,0,topVsBottomSR,0
hmm,5,1.7653418124006361,0,topVsBottomSR,0
hmm,6,1.9017454954954955,0,topVsBottomSR,0
hmm,7,2.0293436293436296,0,topVsBottomSR,0
hmm,8,2.1570945945945947,0,topVsBottomSR,0
hmm,9,1.861861861861862,0,topVsBottomSR,0
hmm,10,2.000831600831601,0,topVsBottomSR,0
hmm,11,2.1486486486486482,0,topVsBottomSR,0
hmm,12,2.3116298116298117,0,topVsBottomSR,0
hmm,13,2.063882063882064,0,topVsBottomSR,0
hmm,14,2.24034749034749,0,topVsBottomSR,0
hmm,15,2.0176576576576575,0,topVsBottomSR,0
hmm,16,1.822804054054054,0,topVsBottomSR,0
hmm,17,2.0010598834128244,0,topVsBottomSR,0
hmm,1,3.171875,1,topVsBottomSR,0
hmm,2,1.5502232142857144,1,topVsBottomSR,0
hmm,3,2.174679487179487,1,topVsBottomSR,0
hmm,4,1.5925480769230769,1,topVsBottomSR,0
hmm,5,2.0203125,1,topVsBottomSR,0
hmm,6,1.6419270833333335,1,topVsBottomSR,0
hmm,7,1.99512987012987,1,topVsBottomSR,0
hmm,8,2.337890625,1,topVsBottomSR,0
hmm,9,2.0225694444444446,1,topVsBottomSR,0
hmm,10,1.7703125000000002,1,topVsBottomSR,0
hmm,11,2.085227272727273,1,topVsBottomSR,0
hmm,12,1.8559027777777777,1,topVsBottomSR,0
hmm,13,2.1811899038461537,1,topVsBottomSR,0
hmm,14,1.9628906250000002,1,topVsBottomSR,0
hmm,15,1.7736979166666667,1,topVsBottomSR,0
hmm,16,1.608154296875,1,topVsBottomSR,0
hmm,17,1.4620863970588236,1,topVsBottomSR,0
hmm,1,2.187675070028011,2,topVsBottomSR,0
hmm,2,1.0867093105899077,2,topVsBottomSR,0
hmm,3,0.7555555555555556,2,topVsBottomSR,0
hmm,4,1.1666666666666665,2,topVsBottomSR,0
hmm,5,1.4444444444444442,2,topVsBottomSR,0
hmm,6,2.204861111111111,2,topVsBottomSR,0
hmm,7,2.361904761904762,2,topVsBottomSR,0
hmm,8,2.0166666666666666,2,topVsBottomSR,0
hmm,9,1.7481481481481485,2,topVsBottomSR,0
hmm,10,1.5333333333333334,2,topVsBottomSR,0
hmm,11,1.696969696969697,2,topVsBottomSR,0
hmm,12,1.8632478632478633,2,topVsBottomSR,0
hmm,13,1.6725838264299802,2,topVsBottomSR,0
hmm,14,2.2294372294372296,2,topVsBottomSR,0
hmm,15,2.4444444444444446,2,topVsBottomSR,0
hmm,16,2.694444444444444,2,topVsBottomSR,0
hmm,17,2.4575163398692808,2,topVsBottomSR,0
hmm,1,3.141666666666666,3,topVsBottomSR,0
hmm,2,1.5408333333333333,3,topVsBottomSR,0
hmm,3,1.0072222222222222,3,topVsBottomSR,0
hmm,4,0.7404166666666666,3,topVsBottomSR,0
hmm,5,0.7895691609977324,3,topVsBottomSR,0
hmm,6,1.0076832151300237,3,topVsBottomSR,0
hmm,7,1.0078502415458936,3,topVsBottomSR,0
hmm,8,1.1598011363636362,3,topVsBottomSR,0
hmm,9,1.4426377597109303,3,topVsBottomSR,0
hmm,10,1.409236111111111,3,topVsBottomSR,0
